"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref","Age_sq"
"769","769","348",53.8,-105.38,-0.3,459,126.66,NA,NA,130,NA,NA,"Ma et al., 2012",16900
"770","770","348",54.52,-107.27,0,449,195.37,NA,NA,122,NA,NA,"Ma et al., 2012",14884
"771","771","348",54.12,-105.95,-0.4,468,94.93,NA,NA,109,NA,NA,"Ma et al., 2012",11881
"772","772","348",54.48,-104.27,-1.1,503,85.26,NA,NA,158,NA,NA,"Ma et al., 2012",24964
"773","773","348",54.46,-105.24,-0.8,491,120.29,NA,NA,104,NA,NA,"Ma et al., 2012",10816
"774","774","348",55.97,-107.73,-0.8,446,180.86,NA,NA,115,NA,NA,"Ma et al., 2012",13225
"775","775","348",54.79,-107.88,0.1,447,165.22,NA,NA,117,NA,NA,"Ma et al., 2012",13689
"776","776","348",55.07,-107.27,-0.3,455,171.17,NA,NA,126,NA,NA,"Ma et al., 2012",15876
"777","777","348",55.09,-108.86,-0.3,456,168.58,NA,NA,137,NA,NA,"Ma et al., 2012",18769
"778","778","348",55.36,-104.92,-1.1,502,154.29,NA,NA,104,NA,NA,"Ma et al., 2012",10816
"779","779","348",54.05,-105.48,-0.6,475,195.73,NA,NA,102,NA,NA,"Ma et al., 2012",10404
"780","780","348",54.44,-105.26,-0.8,490,185.16,NA,NA,147,NA,NA,"Ma et al., 2012",21609
"781","781","348",54.45,-105.24,-0.8,492,173.37,NA,NA,114,NA,NA,"Ma et al., 2012",12996
"782","782","348",54.97,-108.26,0,450,182.23,NA,NA,124,NA,NA,"Ma et al., 2012",15376
"783","783","348",54.97,-108.42,-0.2,454,206.72,NA,NA,179,NA,NA,"Ma et al., 2012",32041
"784","784","348",54.79,-107.88,0.1,447,142.09,NA,NA,147,NA,NA,"Ma et al., 2012",21609
"785","785","348",55.09,-108.86,-0.3,456,193.96,NA,NA,132,NA,NA,"Ma et al., 2012",17424
"786","786","348",53.62,-108.35,-0.3,450,220.87,NA,NA,139,NA,NA,"Ma et al., 2012",19321
"787","787","348",54.48,-107.07,-0.1,454,196.86,NA,NA,131,NA,NA,"Ma et al., 2012",17161
"788","788","348",53.13,-102.68,-1,496,194.06,NA,NA,157,NA,NA,"Ma et al., 2012",24649
"789","789","348",53.03,-102.64,-0.7,489,189.93,NA,NA,111,NA,NA,"Ma et al., 2012",12321
"790","790","348",54.54,-106.47,-0.9,484,223.53,NA,NA,116,NA,NA,"Ma et al., 2012",13456
"791","791","348",54.54,-106.47,-0.9,484,172.88,NA,NA,109,NA,NA,"Ma et al., 2012",11881
"792","792","348",53.62,-108.35,-0.3,450,213.06,NA,NA,127,NA,NA,"Ma et al., 2012",16129
"793","793","348",54.23,-107.77,0.4,442,110.21,NA,NA,112,NA,NA,"Ma et al., 2012",12544
"794","794","348",53.97,-105.72,-0.3,461,184.41,NA,NA,142,NA,NA,"Ma et al., 2012",20164
"795","795","264",51.59,-100.86,0.1,506,90.78,NA,NA,131,NA,NA,"Ma et al., 2012",17161
"796","796","264",49.69,-96.14,2,523,225.34,NA,NA,100,NA,NA,"Ma et al., 2012",10000
"797","797","264",49.28,-96.04,1.7,537,204.62,NA,NA,100,NA,NA,"Ma et al., 2012",10000
"798","798","264",50.02,-95.52,1.9,545,164.64,NA,NA,122,NA,NA,"Ma et al., 2012",14884
"799","799","264",51.66,-95.79,0.4,550,107.95,NA,NA,103,NA,NA,"Ma et al., 2012",10609
