"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref"
"609","609","44",64.75,-148.25,-3.5,269,78.4,88.59,NA,80,0.88,NA,"Luyssaert et al., 2007"
"610","610","45",64.75,-148.25,-3.5,269,70.3,76.82,NA,155,0.91,NA,"Luyssaert et al., 2007"
"611","611","46",54.1,10.23,8.9,772,151,NA,NA,110,NA,NA,"Luyssaert et al., 2007"
"612","612","49",44.77,-121.9,6.3,1800,211.6,NA,NA,300,NA,NA,"Luyssaert et al., 2007"
"613","613","52",46,-66,5,1200,87,NA,NA,NA,NA,NA,"Luyssaert et al., 2007"
"614","614","54",51,-82,5.5,1000,67,NA,NA,NA,NA,NA,"Luyssaert et al., 2007"
"615","615","55",56,-94,-3,600,34,NA,NA,NA,NA,NA,"Luyssaert et al., 2007"
"616","616","56",45,-77,6.5,860,113,NA,NA,NA,NA,NA,"Luyssaert et al., 2007"
"617","617","57",52,-118,4,1000,107,NA,NA,NA,NA,NA,"Luyssaert et al., 2007"
"618","618","58",51,-125,6.7,2250,80,NA,NA,NA,NA,NA,"Luyssaert et al., 2007"
"619","619","63",45.07,-123.89,9.9,2500,451.2,585.29,NA,185,0.77,NA,"Luyssaert et al., 2007"
"620","620","64",45.08,-123.9,9.9,2500,562.9,744.53,NA,168,0.76,NA,"Luyssaert et al., 2007"
"621","621","65",45.04,-123.9,9.9,2500,538.3,674.3,NA,178,0.8,NA,"Luyssaert et al., 2007"
"622","622","75",19.5,-105.02,24.9,707,40,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"623","623","76",19.5,-105.02,24.9,744,40.4,55.28,NA,100,0.73,NA,"Luyssaert et al., 2007"
"624","624","77",19.5,-105.02,24.9,707,40,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"625","625","89",49.69,-74.34,-0.5,1008,45,61,NA,95,0.74,NA,"Luyssaert et al., 2007"
"626","626","93",41.85,13.59,7.5,1169,113.1,147.71,NA,102,0.77,NA,"Luyssaert et al., 2007"
"627","627","97",50.15,11.87,4.5,1000,124.4,NA,NA,148,NA,NA,"Luyssaert et al., 2007"
"628","628","111",2.5,-60,26.2,2620,178,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"629","629","124",43.49,-122.19,6.4,980,403.2,NA,NA,118,NA,NA,"Luyssaert et al., 2007"
"630","630","129",39.9,-105.87,2.9,740,79,91.35,NA,245,0.86,NA,"Luyssaert et al., 2007"
"631","631","137",50.15,11.87,4.5,1000,139.7,NA,NA,114,NA,NA,"Luyssaert et al., 2007"
"632","632","144",42.47,-123.27,10.2,1390,396.6,NA,NA,307,NA,NA,"Luyssaert et al., 2007"
"633","633","146",55.96,12.25,7.5,632,158.6,194,NA,118,0.82,NA,"Luyssaert et al., 2007"
"634","634","151",5.28,-52.91,25.8,2914,218.4,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"635","635","152",51.08,10.45,8.1,795,204.8,239.17,NA,270,0.86,NA,"Luyssaert et al., 2007"
"636","636","155",19.75,-155.25,19.3,5800,61.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"637","637","156",19.75,-155.25,13,2600,40.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"638","638","162",44.48,-123.86,10.3,2330,237.8,NA,NA,85,NA,NA,"Luyssaert et al., 2007"
"639","639","163",44.4,-123.79,10.3,2330,332.6,NA,NA,105,NA,NA,"Luyssaert et al., 2007"
"640","640","165",56.3,10.48,7.1,660,104,124.3,NA,85,0.84,NA,"Luyssaert et al., 2007"
"641","641","169",44,-71.5,6,1325,62.4,75.8,NA,110,0.82,NA,"Luyssaert et al., 2007"
"642","642","174",62.85,30.97,2,662,50.3,73.37,NA,100,0.69,NA,"Luyssaert et al., 2007"
"643","643","177",53,103,1.3,471,86.6,118.71,NA,95,0.73,NA,"Luyssaert et al., 2007"
"644","644","178",50.1,20.37,7.8,729,114.4,137.86,NA,100,0.83,NA,"Luyssaert et al., 2007"
"645","645","180",60.82,16.5,5.3,607,29.9,39.96,NA,120,0.75,NA,"Luyssaert et al., 2007"
"646","646","181",60.82,16.5,5.3,664,31.5,34.27,NA,125,0.92,NA,"Luyssaert et al., 2007"
"647","647","197",62,34,2.2,650,67.8,83.37,NA,82,0.81,NA,"Luyssaert et al., 2007"
"648","648","198",62,34,2.2,650,87.1,106.36,NA,98,0.82,NA,"Luyssaert et al., 2007"
"649","649","199",62,34,2.2,650,90.4,111.53,NA,109,0.81,NA,"Luyssaert et al., 2007"
"650","650","200",62,34,2.2,650,98.1,119.71,NA,126,0.82,NA,"Luyssaert et al., 2007"
"651","651","201",62,34,2.2,650,94.2,116.57,NA,138,0.81,NA,"Luyssaert et al., 2007"
"652","652","205",20.05,-155.9,16,2500,72.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"653","653","206",64.67,47.5,-1.2,499,62.4,81.56,NA,125,0.77,NA,"Luyssaert et al., 2007"
"654","654","208",22.05,-159.5,16,2500,103,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"655","655","212",66.37,29.33,0,500,48.9,66.59,NA,260,0.73,NA,"Luyssaert et al., 2007"
"656","656","216",55.75,13.92,6,900,106.2,123.42,NA,100,0.86,NA,"Luyssaert et al., 2007"
"657","657","219",51.33,10.36,6.5,775,133.4,155.17,NA,153,0.86,NA,"Luyssaert et al., 2007"
"658","658","220",51.33,10.36,7.6,758,200.8,235.12,NA,111,0.85,NA,"Luyssaert et al., 2007"
"659","659","301",43.03,-89.4,6.9,777,125,156.03,NA,130,0.8,NA,"Luyssaert et al., 2007"
"660","660","305",60.09,17.48,6.2,560,112.7,141.52,NA,103,0.8,NA,"Luyssaert et al., 2007"
"661","661","317",55.7,13.63,7,650,148.1,168.45,NA,100,0.88,NA,"Luyssaert et al., 2007"
"662","662","319",-2.98,-47.52,24.1,1750,62.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"663","663","320",2.98,102.3,25.6,1889,195.3,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"664","664","327",53.92,-104.68,1.1,359,47.8,62.78,NA,107,0.76,NA,"Luyssaert et al., 2007"
"665","665","328",21.15,-156.8,21.4,2500,68.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007"
"666","666","344",1.93,-67.05,26,3403,129.4,155.2,NA,165,0.83,NA,"Luyssaert et al., 2007"
"667","667","351",50.06,11.83,5.5,890,130.8,158,NA,120,0.83,NA,"Luyssaert et al., 2007"
"668","668","358",36.67,138.5,4.2,1455,90.5,120.61,NA,290,0.75,NA,"Luyssaert et al., 2007"
"669","669","362",51.82,9.58,6.3,1054,129.3,146.69,NA,116,0.88,NA,"Luyssaert et al., 2007"
"670","670","370",46.24,-89.34,3.9,771,127,133.99,NA,350,0.95,NA,"Luyssaert et al., 2007"
"671","671","380",50.96,13.57,8.3,807,126.3,168.13,NA,107,0.75,NA,"Luyssaert et al., 2007"
"672","672","381",50.93,13.46,7.5,820,110.7,147.99,NA,97,0.75,NA,"Luyssaert et al., 2007"
"673","673","382",55.9,-98.47,-0.2,352,57.2,77.93,NA,152,0.73,NA,"Luyssaert et al., 2007"
"674","674","383",55.8,-97.87,0.1,536,31,53,NA,NA,0.58,NA,"Luyssaert et al., 2007"
"675","675","383",55.8,-97.87,0.1,536,72,116,NA,NA,0.62,NA,"Luyssaert et al., 2007"
"676","676","388",58,83,1.2,520,163.4,189.82,NA,122,0.86,NA,"Luyssaert et al., 2007"
"677","677","389",58,83,1.2,520,79.2,98.4,NA,80,0.81,NA,"Luyssaert et al., 2007"
"678","678","392",-14.3,-170.68,26.9,3207,122,160,NA,NA,0.76,NA,"Luyssaert et al., 2007"
"679","679","396",50.07,4.35,8.5,952,56.9,73.32,NA,80,0.78,NA,"Luyssaert et al., 2007"
"680","680","400",50.2,11.88,5.5,890,115.1,152,NA,142,0.76,NA,"Luyssaert et al., 2007"
"681","681","413",50.45,11.45,5.5,950,137.3,172.96,NA,116,0.79,NA,"Luyssaert et al., 2007"
"682","682","436",60.72,89.13,-4.9,542,76.5,91.36,NA,208,0.84,NA,"Luyssaert et al., 2007"
"683","683","440",33.33,133,13.6,2748,266.5,344.27,NA,443,0.77,NA,"Luyssaert et al., 2007"
"684","684","441",33.33,133,13.6,2748,235.7,304.17,NA,145,0.77,NA,"Luyssaert et al., 2007"
"685","685","236",55.73,13.3,7,644,94.5,112.8,NA,190,0.84,NA,"Luyssaert et al., 2007"
"686","686","244",52.17,5.74,10.1,903,42.6,49.49,NA,88,0.86,NA,"Luyssaert et al., 2007"
"687","687","245",45.83,-122.09,8.2,2930,343.5,NA,NA,111,NA,NA,"Luyssaert et al., 2007"
"688","688","246",45.85,-122.11,8.2,2930,444.5,NA,NA,85,NA,NA,"Luyssaert et al., 2007"
"689","689","249",-11.48,27.6,20.3,1273,79.7,91.66,NA,120,0.87,NA,"Luyssaert et al., 2007"
"690","690","265",55.99,-98.99,-4.6,536,29,50,NA,NA,0.58,NA,"Luyssaert et al., 2007"
"691","691","265",55.99,-98.99,-4.6,536,57,92,NA,NA,0.62,NA,"Luyssaert et al., 2007"
"692","692","265",55.99,-98.99,-4.6,536,57,74,NA,NA,0.77,NA,"Luyssaert et al., 2007"
"693","693","271",54.21,-2.89,7.8,1115,60.4,95.71,NA,80,0.63,NA,"Luyssaert et al., 2007"
"694","694","274",44.42,-121.67,8.1,482,108.9,147.17,NA,148,0.74,NA,"Luyssaert et al., 2007"
"695","695","275",44.5,-121.62,8.4,630,122.3,162.17,NA,190,0.75,NA,"Luyssaert et al., 2007"
"696","696","276",44.42,-121.61,8.4,630,157,205.33,NA,316,0.76,NA,"Luyssaert et al., 2007"
"697","697","277",44.45,-121.56,8.4,630,69,92.08,NA,88,0.75,NA,"Luyssaert et al., 2007"
"698","698","278",44.43,-121.67,8.4,630,108,142.88,NA,106,0.76,NA,"Luyssaert et al., 2007"
"699","699","279",44.45,-121.67,8.4,630,54.5,70.49,NA,93,0.77,NA,"Luyssaert et al., 2007"
"700","700","280",44.46,-121.66,8.4,630,142.3,188.91,NA,96,0.75,NA,"Luyssaert et al., 2007"
"701","701","282",47.5,-93.5,4.1,690,34,NA,NA,NA,NA,NA,"Luyssaert et al., 2007"
"702","702","287",44.69,-121.87,5.8,1350,309.5,NA,NA,262,NA,NA,"Luyssaert et al., 2007"
"703","703","288",44.7,-121.87,5.8,1350,275.6,NA,NA,304,NA,NA,"Luyssaert et al., 2007"
"704","704","292",45.43,28.55,10.6,975,30.2,NA,NA,NA,NA,NA,"Garbarino et al., 2009"
"705","705","292",45.45,28.69,10.6,975,46.5,NA,NA,NA,NA,NA,"Garbarino et al., 2009"
