Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,Temp,Precip,AGB,Age,Reference 1,Method used to determine tree age,FullBibEntry
44,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21,-122.24,8.9,1906,521.2,460,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
45,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.26,-122.18,8.1,2101,498.4,450,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
46,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.22,-122.24,10.9,1868,314.9,460,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
47,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.23,-122.12,7.1,1240,359,450,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
48,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.26,-122.16,7.8,2202,411.5,460,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
49,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.27,-122.14,3.8,2282,328.2,450,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
50,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.06,-123.99,7.9,2417,472.9,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
51,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.07,-123.94,9,2552,531.1,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
52,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.04,-123.9,8.6,2660,472,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
53,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.07,-123.94,9,2554,498.6,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
54,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.06,-123.94,8.7,2559,432.1,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
55,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.07,-123.94,9,2549,380.3,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
56,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.05,-123.9,8.5,2651,405.5,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
57,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.05,-123.9,8.3,2658,391.4,150,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
58,Temperate,Temperate mountain system,North America,"OREAST,Metolius RNA",,44.49,-121.63,8.1,355,82.5,300,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
59,Temperate,Temperate mountain system,North America,"OREAST,Pringle Falls RNA",,43.71,-121.61,5.8,549,107,500,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
60,Temperate,Temperate mountain system,North America,"OREAST,Pringle Falls RNA",,43.71,-121.6,5,539,77,400,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-179"
61,Temperate,Temperate mountain system,North America,"OREAST,Pringle Falls RNA",,43.71,-121.61,5.7,545,66.9,400,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-178"
62,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.96,-121.84,3.9,2500,338.9,1200,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-177"
